facility_name,facility_lat,facility_lon,wind_station_id,wind_station_name,wind_station_lat,wind_station_lon,wind_distance_km,ref_temp_pct,ref_wind_pct,cloud_station_id,cloud_station_name,cloud_station_lat,cloud_station_lon,cloud_distance_km,ref_cloud_pct,wind_hours_present,temp_pct,wind_pair_pct,cloud_hours_present,cloud_pct
ExxonMobil Baytown Refinery,29.7436,-95.0128,MGPT2,"Morgans Point, TX",29.681699752807617,-94.98500061035156,7.388057181972265,100.0,100.0,,,,,,0.0,671,100.0,100.0,0,0.0
Shell Deer Park Refinery,29.7208,-95.1269,F2972,FW2972 Deer Park                  TX US,29.69099998474121,-95.13600158691406,3.428226720915308,100.0,100.0,,,,,,0.0,649,100.0,100.0,0,0.0
Valero Houston Refinery,29.7222,-95.2539,KHOU,Houston: Houston Hobby Airport   TX US NWS/FAA,29.637500762939453,-95.28250122070312,9.815072654542217,100.0,94.8542024013722,,,,,,0.0,337,100.0,94.3620178041543,0,0.0
LyondellBasell Pasadena Complex,29.7131,-95.2356,KHOU,Houston: Houston Hobby Airport   TX US NWS/FAA,29.637500762939453,-95.28250122070312,9.54969443184302,100.0,94.8542024013722,,,,,,0.0,337,100.0,94.3620178041543,0,0.0
LyondellBasell Channelview Complex,29.8314,-95.115,D2150,DW2150 League City                TX US,29.886329650878906,-95.12750244140625,6.22575695897957,100.0,100.0,,,,,,0.0,467,100.0,100.0,0,0.0
ExxonMobil Baytown Olefins Plant,29.7564,-95.0114,MGPT2,"Morgans Point, TX",29.681699752807617,-94.98500061035156,8.688710470929252,100.0,100.0,,,,,,0.0,671,100.0,100.0,0,0.0
Chevron Phillips Chemical Co,29.7292,-95.1789,F2972,FW2972 Deer Park                  TX US,29.69099998474121,-95.13600158691406,5.9335664580880785,100.0,100.0,,,,,,0.0,649,100.0,100.0,0,0.0
TPC Group,29.7006,-95.2542,KHOU,Houston: Houston Hobby Airport   TX US NWS/FAA,29.637500762939453,-95.28250122070312,7.530307371537544,100.0,94.8542024013722,,,,,,0.0,337,100.0,94.3620178041543,0,0.0
INEOS Phenol,29.7322,-95.1614,F2972,FW2972 Deer Park                  TX US,29.69099998474121,-95.13600158691406,5.196569171507611,100.0,100.0,,,,,,0.0,649,100.0,100.0,0,0.0
Total Energies Petrochemicals,29.7278,-95.0861,F2972,FW2972 Deer Park                  TX US,29.69099998474121,-95.13600158691406,6.322263180526179,100.0,100.0,,,,,,0.0,649,100.0,100.0,0,0.0
BASF Pasadena,29.7278,-95.1511,F2972,FW2972 Deer Park                  TX US,29.69099998474121,-95.13600158691406,4.344024499014957,100.0,100.0,,,,,,0.0,649,100.0,100.0,0,0.0
Huntsman International,29.7236,-95.2644,KHOU,Houston: Houston Hobby Airport   TX US NWS/FAA,29.637500762939453,-95.28250122070312,9.732190167296928,100.0,94.8542024013722,,,,,,0.0,337,100.0,94.3620178041543,0,0.0
Invista,29.7042,-95.25,KHOU,Houston: Houston Hobby Airport   TX US NWS/FAA,29.637500762939453,-95.28250122070312,8.05397745045864,100.0,94.8542024013722,,,,,,0.0,337,100.0,94.3620178041543,0,0.0
Goodyear Baytown,29.6469,-95.0475,KT41,La Porte Municipal Airport       TX US NWS/FAA,29.669300079345703,-95.06420135498047,2.9678871175847075,99.47368421052632,100.0,,,,,,0.0,430,99.76744186046511,99.76744186046511,0,0.0
LyondellBasell Bayport Polymers,29.6278,-95.0508,KT41,La Porte Municipal Airport       TX US NWS/FAA,29.669300079345703,-95.06420135498047,4.7928811570545236,99.47368421052632,100.0,,,,,,0.0,430,99.76744186046511,99.76744186046511,0,0.0
INEOS PP & Gemini,29.7231,-95.0858,KT41,La Porte Municipal Airport       TX US NWS/FAA,29.669300079345703,-95.06420135498047,6.335616300553545,99.47368421052632,100.0,,,,,,0.0,430,99.76744186046511,99.76744186046511,0,0.0
K-Solv Channelview,29.7675,-95.1031,F2972,FW2972 Deer Park                  TX US,29.69099998474121,-95.13600158691406,9.080314025877529,100.0,100.0,,,,,,0.0,649,100.0,100.0,0,0.0
Oxy Vinyls Deer Park,29.7306,-95.1042,F2972,FW2972 Deer Park                  TX US,29.69099998474121,-95.13600158691406,5.368624999633841,100.0,100.0,,,,,,0.0,649,100.0,100.0,0,0.0
ITC Deer Park,29.7389,-95.0939,F2972,FW2972 Deer Park                  TX US,29.69099998474121,-95.13600158691406,6.700759805280778,100.0,100.0,,,,,,0.0,649,100.0,100.0,0,0.0
Enterprise Houston Terminal,29.745,-95.1281,F2972,FW2972 Deer Park                  TX US,29.69099998474121,-95.13600158691406,6.052818297675122,100.0,100.0,,,,,,0.0,649,100.0,100.0,0,0.0
